Time	Sum	Command
46	53	----> set name (string split @ $name)[1]
7	7	-----> string split @ $name
10	73	----> if not contains $name $__fundle_plugin_names...
14	14	-----> not contains $name $__fundle_plugin_names
14	14	-----> set -g __fundle_plugin_names $__fundle_plugin_names $name
18	18	-----> set -g __fundle_plugin_urls $__fundle_plugin_urls $plugin_url
17	17	-----> set -g __fundle_plugin_name_paths $__fundle_plugin_name_paths $name:$plugin_path
22	390187	-> fundle init
2	265	--> if __fundle_no_git...
14	263	---> __fundle_no_git
2	245	----> if not command -s git > /dev/null 2>&1...
243	243	-----> not command -s git > /dev/null 2>&1
4	4	----> return 1
7	7	--> set -l sub_args ""
60	77	--> switch (count $argv)...
17	17	---> count $argv
9	389816	--> switch $argv[1]...
38	389807	---> __fundle_init $sub_args
96	139	----> set -l fundle_dir (__fundle_plugins_dir)
8	43	-----> __fundle_plugins_dir
8	35	------> if test -z "$fundle_plugins_dir"...
9	9	-------> test -z "$fundle_plugins_dir"
4	18	-------> if test -n "$XDG_CONFIG_HOME"...
5	5	--------> test -n "$XDG_CONFIG_HOME"
9	9	--------> echo $HOME/.config/fish/fundle
2	70	----> if test (count $__fundle_plugin_names) -eq 0...
53	68	-----> test (count $__fundle_plugin_names) -eq 0
15	15	------> count $__fundle_plugin_names
5	5	----> set -l profile 0
1	19	----> if begin; contains -- -p $argv; or contains -- --profile $argv; and __fundle_check_date; end...
7	18	-----> ...
6	6	------> contains -- -p $argv
5	5	------> contains -- --profile $argv
5	5	----> set -l has_uninstalled_plugins 0
150	387904	----> for name_path in $__fundle_plugin_name_paths...
49	59	-----> set -l name_path (string split : -- $name_path)
10	10	------> string split : -- $name_path
7	33427	-----> if test "$profile" -eq 1...
7	7	------> test "$profile" -eq 1
82	33413	------> __fundle_load_plugin $name_path[1] $name_path[2] $fundle_dir $profile
1	12	-------> if begin; set -q __fundle_loaded_plugins; and contains $plugin $__fundle_loaded_plugins; end...
7	11	--------> ...
4	4	---------> set -q __fundle_loaded_plugins
53	113	-------> set -l plugin_dir (string replace -r '/.$' '' -- "$fundle_dir/$plugin/$path")
60	60	--------> string replace -r '/.$' '' -- "$fundle_dir/$plugin/$path"
3	35	-------> if not test -d $plugin_dir...
32	32	--------> not test -d $plugin_dir
52	82	-------> set -l plugin_name (string replace -r '.*/(plugin-)?(.*)$' '$2' -- $plugin)
30	30	--------> string replace -r '.*/(plugin-)?(.*)$' '$2' -- $plugin
10	10	-------> set -l init_file "$plugin_dir/init.fish"
7	7	-------> set -l conf_dir "$plugin_dir/conf.d"
8	8	-------> set -l bindings_file  "$plugin_dir/key_bindings.fish"
8	8	-------> set -l functions_dir "$plugin_dir/functions"
7	7	-------> set -l completions_dir  "$plugin_dir/completions"
20	20	-------> set -l plugin_paths $__fundle_plugin_name_paths
2	25	-------> if begin; test -d $functions_dir; and not contains $functions_dir $fish_function_path; end...
5	23	--------> ...
18	18	---------> test -d $functions_dir
6	66	-------> if begin; test -d $completions_dir; and not contains $completions_dir $fish_complete_path; end...
5	39	--------> ...
18	18	---------> test -d $completions_dir
16	16	---------> not contains $completions_dir $fish_complete_path
21	21	--------> set fish_complete_path $fish_complete_path[1] $completions_dir $fish_complete_path[2..-1]
9	106	-------> if test -f $init_file...
14	14	--------> test -f $init_file
15	15	--------> test -d $conf_dir
5	68	--------> if not contains $plugin_dir $fish_function_path...
14	14	---------> not contains $plugin_dir $fish_function_path
49	49	---------> set fish_function_path $fish_function_path[1] $plugin_dir $fish_function_path[2..-1]
1	16	-------> if test -f $bindings_file...
15	15	--------> test -f $bindings_file
9	9	-------> set -g __fundle_loaded_plugins $plugin $__fundle_loaded_plugins
127	32711	-------> set -l dependencies (printf '%s\n' $plugin_paths $__fundle_plugin_name_paths | sort | uniq -u)
32584	32584	--------> printf '%s\n' $plugin_paths $__fundle_plugin_name_paths | sort | uniq -u
17	17	-------> for dependency in $dependencies...
79	79	-------> emit "init_$plugin_name" $plugin_dir
106	199	-----> set -l name_path (string split : -- $name_path)
93	93	------> string split : -- $name_path
8	37593	-----> if test "$profile" -eq 1...
13	13	------> test "$profile" -eq 1
82	37572	------> __fundle_load_plugin $name_path[1] $name_path[2] $fundle_dir $profile
2	63	-------> if begin; set -q __fundle_loaded_plugins; and contains $plugin $__fundle_loaded_plugins; end...
11	61	--------> ...
4	4	---------> set -q __fundle_loaded_plugins
46	46	---------> contains $plugin $__fundle_loaded_plugins
59	100	-------> set -l plugin_dir (string replace -r '/.$' '' -- "$fundle_dir/$plugin/$path")
41	41	--------> string replace -r '/.$' '' -- "$fundle_dir/$plugin/$path"
2	23	-------> if not test -d $plugin_dir...
21	21	--------> not test -d $plugin_dir
57	84	-------> set -l plugin_name (string replace -r '.*/(plugin-)?(.*)$' '$2' -- $plugin)
27	27	--------> string replace -r '.*/(plugin-)?(.*)$' '$2' -- $plugin
9	9	-------> set -l init_file "$plugin_dir/init.fish"
7	7	-------> set -l conf_dir "$plugin_dir/conf.d"
8	8	-------> set -l bindings_file  "$plugin_dir/key_bindings.fish"
7	7	-------> set -l functions_dir "$plugin_dir/functions"
7	7	-------> set -l completions_dir  "$plugin_dir/completions"
14	14	-------> set -l plugin_paths $__fundle_plugin_name_paths
6	68	-------> if begin; test -d $functions_dir; and not contains $functions_dir $fish_function_path; end...
7	40	--------> ...
18	18	---------> test -d $functions_dir
15	15	---------> not contains $functions_dir $fish_function_path
22	22	--------> set fish_function_path $fish_function_path[1] $functions_dir $fish_function_path[2..-1]
7	172	-------> if begin; test -d $completions_dir; and not contains $completions_dir $fish_complete_path; end...
9	140	--------> ...
55	55	---------> test -d $completions_dir
76	76	---------> not contains $completions_dir $fish_complete_path
25	25	--------> set fish_complete_path $fish_complete_path[1] $completions_dir $fish_complete_path[2..-1]
11	84	-------> if test -f $init_file...
15	15	--------> test -f $init_file
13	13	--------> test -d $conf_dir
6	45	--------> if not contains $plugin_dir $fish_function_path...
18	18	---------> not contains $plugin_dir $fish_function_path
21	21	---------> set fish_function_path $fish_function_path[1] $plugin_dir $fish_function_path[2..-1]
3	17	-------> if test -f $bindings_file...
14	14	--------> test -f $bindings_file
11	11	-------> set -g __fundle_loaded_plugins $plugin $__fundle_loaded_plugins
117	36727	-------> set -l dependencies (printf '%s\n' $plugin_paths $__fundle_plugin_name_paths | sort | uniq -u)
36610	36610	--------> printf '%s\n' $plugin_paths $__fundle_plugin_name_paths | sort | uniq -u
12	12	-------> for dependency in $dependencies...
77	77	-------> emit "init_$plugin_name" $plugin_dir
86	100	-----> set -l name_path (string split : -- $name_path)
14	14	------> string split : -- $name_path
8	47048	-----> if test "$profile" -eq 1...
12	12	------> test "$profile" -eq 1
84	47028	------> __fundle_load_plugin $name_path[1] $name_path[2] $fundle_dir $profile
1	74	-------> if begin; set -q __fundle_loaded_plugins; and contains $plugin $__fundle_loaded_plugins; end...
11	73	--------> ...
4	4	---------> set -q __fundle_loaded_plugins
58	58	---------> contains $plugin $__fundle_loaded_plugins
447	495	-------> set -l plugin_dir (string replace -r '/.$' '' -- "$fundle_dir/$plugin/$path")
48	48	--------> string replace -r '/.$' '' -- "$fundle_dir/$plugin/$path"
3	31	-------> if not test -d $plugin_dir...
28	28	--------> not test -d $plugin_dir
53	82	-------> set -l plugin_name (string replace -r '.*/(plugin-)?(.*)$' '$2' -- $plugin)
29	29	--------> string replace -r '.*/(plugin-)?(.*)$' '$2' -- $plugin
10	10	-------> set -l init_file "$plugin_dir/init.fish"
8	8	-------> set -l conf_dir "$plugin_dir/conf.d"
773	773	-------> set -l bindings_file  "$plugin_dir/key_bindings.fish"
152	152	-------> set -l functions_dir "$plugin_dir/functions"
9	9	-------> set -l completions_dir  "$plugin_dir/completions"
15	15	-------> set -l plugin_paths $__fundle_plugin_name_paths
2	62	-------> if begin; test -d $functions_dir; and not contains $functions_dir $fish_function_path; end...
7	60	--------> ...
53	53	---------> test -d $functions_dir
1	21	-------> if begin; test -d $completions_dir; and not contains $completions_dir $fish_complete_path; end...
4	20	--------> ...
16	16	---------> test -d $completions_dir
11	93	-------> if test -f $init_file...
17	17	--------> test -f $init_file
13	13	--------> test -d $conf_dir
6	52	--------> if not contains $plugin_dir $fish_function_path...
21	21	---------> not contains $plugin_dir $fish_function_path
25	25	---------> set fish_function_path $fish_function_path[1] $plugin_dir $fish_function_path[2..-1]
2	17	-------> if test -f $bindings_file...
15	15	--------> test -f $bindings_file
12	12	-------> set -g __fundle_loaded_plugins $plugin $__fundle_loaded_plugins
1017	44955	-------> set -l dependencies (printf '%s\n' $plugin_paths $__fundle_plugin_name_paths | sort | uniq -u)
43938	43938	--------> printf '%s\n' $plugin_paths $__fundle_plugin_name_paths | sort | uniq -u
20	20	-------> for dependency in $dependencies...
115	115	-------> emit "init_$plugin_name" $plugin_dir
64	75	-----> set -l name_path (string split : -- $name_path)
11	11	------> string split : -- $name_path
9	41765	-----> if test "$profile" -eq 1...
8	8	------> test "$profile" -eq 1
84	41748	------> __fundle_load_plugin $name_path[1] $name_path[2] $fundle_dir $profile
1	97	-------> if begin; set -q __fundle_loaded_plugins; and contains $plugin $__fundle_loaded_plugins; end...
11	96	--------> ...
4	4	---------> set -q __fundle_loaded_plugins
81	81	---------> contains $plugin $__fundle_loaded_plugins
559	681	-------> set -l plugin_dir (string replace -r '/.$' '' -- "$fundle_dir/$plugin/$path")
122	122	--------> string replace -r '/.$' '' -- "$fundle_dir/$plugin/$path"
2	32	-------> if not test -d $plugin_dir...
30	30	--------> not test -d $plugin_dir
73	112	-------> set -l plugin_name (string replace -r '.*/(plugin-)?(.*)$' '$2' -- $plugin)
39	39	--------> string replace -r '.*/(plugin-)?(.*)$' '$2' -- $plugin
12	12	-------> set -l init_file "$plugin_dir/init.fish"
8	8	-------> set -l conf_dir "$plugin_dir/conf.d"
9	9	-------> set -l bindings_file  "$plugin_dir/key_bindings.fish"
8	8	-------> set -l functions_dir "$plugin_dir/functions"
8	8	-------> set -l completions_dir  "$plugin_dir/completions"
14	14	-------> set -l plugin_paths $__fundle_plugin_name_paths
2	38	-------> if begin; test -d $functions_dir; and not contains $functions_dir $fish_function_path; end...
6	36	--------> ...
30	30	---------> test -d $functions_dir
5	75	-------> if begin; test -d $completions_dir; and not contains $completions_dir $fish_complete_path; end...
7	46	--------> ...
17	17	---------> test -d $completions_dir
22	22	---------> not contains $completions_dir $fish_complete_path
24	24	--------> set fish_complete_path $fish_complete_path[1] $completions_dir $fish_complete_path[2..-1]
11	88	-------> if test -f $init_file...
14	14	--------> test -f $init_file
13	13	--------> test -d $conf_dir
6	50	--------> if not contains $plugin_dir $fish_function_path...
18	18	---------> not contains $plugin_dir $fish_function_path
26	26	---------> set fish_function_path $fish_function_path[1] $plugin_dir $fish_function_path[2..-1]
3	18	-------> if test -f $bindings_file...
15	15	--------> test -f $bindings_file
12	12	-------> set -g __fundle_loaded_plugins $plugin $__fundle_loaded_plugins
134	40327	-------> set -l dependencies (printf '%s\n' $plugin_paths $__fundle_plugin_name_paths | sort | uniq -u)
40193	40193	--------> printf '%s\n' $plugin_paths $__fundle_plugin_name_paths | sort | uniq -u
17	17	-------> for dependency in $dependencies...
108	108	-------> emit "init_$plugin_name" $plugin_dir
81	97	-----> set -l name_path (string split : -- $name_path)
16	16	------> string split : -- $name_path
7	55244	-----> if test "$profile" -eq 1...
13	13	------> test "$profile" -eq 1
81	55224	------> __fundle_load_plugin $name_path[1] $name_path[2] $fundle_dir $profile
2	88	-------> if begin; set -q __fundle_loaded_plugins; and contains $plugin $__fundle_loaded_plugins; end...
12	86	--------> ...
4	4	---------> set -q __fundle_loaded_plugins
70	70	---------> contains $plugin $__fundle_loaded_plugins
55	98	-------> set -l plugin_dir (string replace -r '/.$' '' -- "$fundle_dir/$plugin/$path")
43	43	--------> string replace -r '/.$' '' -- "$fundle_dir/$plugin/$path"
3	24	-------> if not test -d $plugin_dir...
21	21	--------> not test -d $plugin_dir
55	85	-------> set -l plugin_name (string replace -r '.*/(plugin-)?(.*)$' '$2' -- $plugin)
30	30	--------> string replace -r '.*/(plugin-)?(.*)$' '$2' -- $plugin
9	9	-------> set -l init_file "$plugin_dir/init.fish"
8	8	-------> set -l conf_dir "$plugin_dir/conf.d"
8	8	-------> set -l bindings_file  "$plugin_dir/key_bindings.fish"
7	7	-------> set -l functions_dir "$plugin_dir/functions"
8	8	-------> set -l completions_dir  "$plugin_dir/completions"
13	13	-------> set -l plugin_paths $__fundle_plugin_name_paths
2	23	-------> if begin; test -d $functions_dir; and not contains $functions_dir $fish_function_path; end...
4	21	--------> ...
17	17	---------> test -d $functions_dir
5	79	-------> if begin; test -d $completions_dir; and not contains $completions_dir $fish_complete_path; end...
6	47	--------> ...
19	19	---------> test -d $completions_dir
22	22	---------> not contains $completions_dir $fish_complete_path
27	27	--------> set fish_complete_path $fish_complete_path[1] $completions_dir $fish_complete_path[2..-1]
11	129	-------> if test -f $init_file...
14	14	--------> test -f $init_file
13	13	--------> test -d $conf_dir
13	91	--------> if not contains $plugin_dir $fish_function_path...
42	42	---------> not contains $plugin_dir $fish_function_path
36	36	---------> set fish_function_path $fish_function_path[1] $plugin_dir $fish_function_path[2..-1]
3	28	-------> if test -f $bindings_file...
25	25	--------> test -f $bindings_file
14	14	-------> set -g __fundle_loaded_plugins $plugin $__fundle_loaded_plugins
118	54350	-------> set -l dependencies (printf '%s\n' $plugin_paths $__fundle_plugin_name_paths | sort | uniq -u)
54232	54232	--------> printf '%s\n' $plugin_paths $__fundle_plugin_name_paths | sort | uniq -u
14	14	-------> for dependency in $dependencies...
158	158	-------> emit "init_$plugin_name" $plugin_dir
78	91	-----> set -l name_path (string split : -- $name_path)
13	13	------> string split : -- $name_path
7	69980	-----> if test "$profile" -eq 1...
11	11	------> test "$profile" -eq 1
81	69962	------> __fundle_load_plugin $name_path[1] $name_path[2] $fundle_dir $profile
7	5134	-------> if begin; set -q __fundle_loaded_plugins; and contains $plugin $__fundle_loaded_plugins; end...
14	5127	--------> ...
4	4	---------> set -q __fundle_loaded_plugins
5109	5109	---------> contains $plugin $__fundle_loaded_plugins
98	141	-------> set -l plugin_dir (string replace -r '/.$' '' -- "$fundle_dir/$plugin/$path")
43	43	--------> string replace -r '/.$' '' -- "$fundle_dir/$plugin/$path"
3	47	-------> if not test -d $plugin_dir...
44	44	--------> not test -d $plugin_dir
55	82	-------> set -l plugin_name (string replace -r '.*/(plugin-)?(.*)$' '$2' -- $plugin)
27	27	--------> string replace -r '.*/(plugin-)?(.*)$' '$2' -- $plugin
10	10	-------> set -l init_file "$plugin_dir/init.fish"
8	8	-------> set -l conf_dir "$plugin_dir/conf.d"
9	9	-------> set -l bindings_file  "$plugin_dir/key_bindings.fish"
7	7	-------> set -l functions_dir "$plugin_dir/functions"
7	7	-------> set -l completions_dir  "$plugin_dir/completions"
14	14	-------> set -l plugin_paths $__fundle_plugin_name_paths
7	90	-------> if begin; test -d $functions_dir; and not contains $functions_dir $fish_function_path; end...
9	52	--------> ...
19	19	---------> test -d $functions_dir
24	24	---------> not contains $functions_dir $fish_function_path
31	31	--------> set fish_function_path $fish_function_path[1] $functions_dir $fish_function_path[2..-1]
6	157	-------> if begin; test -d $completions_dir; and not contains $completions_dir $fish_complete_path; end...
7	122	--------> ...
17	17	---------> test -d $completions_dir
98	98	---------> not contains $completions_dir $fish_complete_path
29	29	--------> set fish_complete_path $fish_complete_path[1] $completions_dir $fish_complete_path[2..-1]
11	97	-------> if test -f $init_file...
15	15	--------> test -f $init_file
13	13	--------> test -d $conf_dir
7	58	--------> if not contains $plugin_dir $fish_function_path...
23	23	---------> not contains $plugin_dir $fish_function_path
28	28	---------> set fish_function_path $fish_function_path[1] $plugin_dir $fish_function_path[2..-1]
2	17	-------> if test -f $bindings_file...
15	15	--------> test -f $bindings_file
15	15	-------> set -g __fundle_loaded_plugins $plugin $__fundle_loaded_plugins
184	63922	-------> set -l dependencies (printf '%s\n' $plugin_paths $__fundle_plugin_name_paths | sort | uniq -u)
63738	63738	--------> printf '%s\n' $plugin_paths $__fundle_plugin_name_paths | sort | uniq -u
13	13	-------> for dependency in $dependencies...
111	111	-------> emit "init_$plugin_name" $plugin_dir
74	86	-----> set -l name_path (string split : -- $name_path)
12	12	------> string split : -- $name_path
6	89291	-----> if test "$profile" -eq 1...
10	10	------> test "$profile" -eq 1
68	89275	------> __fundle_load_plugin $name_path[1] $name_path[2] $fundle_dir $profile
2	105	-------> if begin; set -q __fundle_loaded_plugins; and contains $plugin $__fundle_loaded_plugins; end...
10	103	--------> ...
4	4	---------> set -q __fundle_loaded_plugins
89	89	---------> contains $plugin $__fundle_loaded_plugins
58	89	-------> set -l plugin_dir (string replace -r '/.$' '' -- "$fundle_dir/$plugin/$path")
31	31	--------> string replace -r '/.$' '' -- "$fundle_dir/$plugin/$path"
2	21	-------> if not test -d $plugin_dir...
19	19	--------> not test -d $plugin_dir
61	85	-------> set -l plugin_name (string replace -r '.*/(plugin-)?(.*)$' '$2' -- $plugin)
24	24	--------> string replace -r '.*/(plugin-)?(.*)$' '$2' -- $plugin
12	12	-------> set -l init_file "$plugin_dir/init.fish"
8	8	-------> set -l conf_dir "$plugin_dir/conf.d"
8	8	-------> set -l bindings_file  "$plugin_dir/key_bindings.fish"
7	7	-------> set -l functions_dir "$plugin_dir/functions"
7	7	-------> set -l completions_dir  "$plugin_dir/completions"
14	14	-------> set -l plugin_paths $__fundle_plugin_name_paths
2	28	-------> if begin; test -d $functions_dir; and not contains $functions_dir $fish_function_path; end...
6	26	--------> ...
20	20	---------> test -d $functions_dir
1	21	-------> if begin; test -d $completions_dir; and not contains $completions_dir $fish_complete_path; end...
4	20	--------> ...
16	16	---------> test -d $completions_dir
10	80168	-------> if test -f $init_file...
14	14	--------> test -f $init_file
15	15	--------> test -d $conf_dir
7036	80129	--------> for f in $conf_dir/*.fish...
2170	73093	---------> source $f
5	17	----------> if not status is-interactive...
12	12	-----------> not status is-interactive
9	9	----------> set -g __done_version 1.19.3
6	6	----------> function __done_run_powershell_script...
4	4	----------> function __done_windows_notification -a title -a message...
1	1	----------> function __done_get_focused_window_id...
1	1	----------> function __done_is_tmux_window_active...
1	1	----------> function __done_is_screen_window_active...
1	1	----------> function __done_is_process_window_focused...
2	2	----------> function __done_humanize_duration -a milliseconds...
12	70809	----------> if test -z "$SSH_CLIENT"...
10	10	-----------> test -z "$SSH_CLIENT"
772	70772	-----------> count (__done_get_focused_window_id) >/dev/null
23	70000	------------> __done_get_focused_window_id
31	69977	-------------> if type -q lsappinfo...
261	261	--------------> type -q lsappinfo
38022	69685	--------------> lsappinfo info -only bundleID (lsappinfo front | string replace 'ASN:0x0-' '0x') | cut -d '"' -f4
31663	31663	---------------> lsappinfo front | string replace 'ASN:0x0-' '0x'
15	15	-----------> set __done_enabled
1	3	----------> if set -q __done_allow_nongraphical...
2	2	-----------> set -q __done_allow_nongraphical
31	68	----------> if set -q __done_enabled...
1	1	-----------> set -q __done_enabled
6	6	-----------> set -g __done_initial_window_id ''
2	2	-----------> set -q __done_min_cmd_duration
2	2	-----------> set -g __done_min_cmd_duration 5000
1	1	-----------> set -q __done_exclude
2	2	-----------> set -g __done_exclude '^git (?!push|pull|fetch)'
1	1	-----------> set -q __done_notify_sound
1	1	-----------> set -g __done_notify_sound 0
1	1	-----------> set -q __done_sway_ignore_visible
1	1	-----------> set -g __done_sway_ignore_visible 0
1	1	-----------> set -q __done_tmux_pane_format
2	2	-----------> set -g __done_tmux_pane_format '[#{window_index}]'
1	1	-----------> set -q __done_notification_duration
3	3	-----------> set -g __done_notification_duration 3000
3	3	-----------> function __done_started --on-event fish_preexec...
9	9	-----------> function __done_ended --on-event fish_postexec...
1	1	----------> function __done_uninstall -e done_uninstall...
1	21	-------> if test -f $bindings_file...
20	20	--------> test -f $bindings_file
8	8	-------> set -g __fundle_loaded_plugins $plugin $__fundle_loaded_plugins
89	8585	-------> set -l dependencies (printf '%s\n' $plugin_paths $__fundle_plugin_name_paths | sort | uniq -u)
8496	8496	--------> printf '%s\n' $plugin_paths $__fundle_plugin_name_paths | sort | uniq -u
6	6	-------> for dependency in $dependencies...
14	14	-------> emit "init_$plugin_name" $plugin_dir
56	64	-----> set -l name_path (string split : -- $name_path)
8	8	------> string split : -- $name_path
6	12635	-----> if test "$profile" -eq 1...
10	10	------> test "$profile" -eq 1
64	12619	------> __fundle_load_plugin $name_path[1] $name_path[2] $fundle_dir $profile
0	15	-------> if begin; set -q __fundle_loaded_plugins; and contains $plugin $__fundle_loaded_plugins; end...
5	15	--------> ...
2	2	---------> set -q __fundle_loaded_plugins
8	8	---------> contains $plugin $__fundle_loaded_plugins
33	59	-------> set -l plugin_dir (string replace -r '/.$' '' -- "$fundle_dir/$plugin/$path")
26	26	--------> string replace -r '/.$' '' -- "$fundle_dir/$plugin/$path"
0	13	-------> if not test -d $plugin_dir...
13	13	--------> not test -d $plugin_dir
29	40	-------> set -l plugin_name (string replace -r '.*/(plugin-)?(.*)$' '$2' -- $plugin)
11	11	--------> string replace -r '.*/(plugin-)?(.*)$' '$2' -- $plugin
5	5	-------> set -l init_file "$plugin_dir/init.fish"
3	3	-------> set -l conf_dir "$plugin_dir/conf.d"
3	3	-------> set -l bindings_file  "$plugin_dir/key_bindings.fish"
5	5	-------> set -l functions_dir "$plugin_dir/functions"
3	3	-------> set -l completions_dir  "$plugin_dir/completions"
7	7	-------> set -l plugin_paths $__fundle_plugin_name_paths
3	44	-------> if begin; test -d $functions_dir; and not contains $functions_dir $fish_function_path; end...
5	26	--------> ...
10	10	---------> test -d $functions_dir
11	11	---------> not contains $functions_dir $fish_function_path
15	15	--------> set fish_function_path $fish_function_path[1] $functions_dir $fish_function_path[2..-1]
0	8	-------> if begin; test -d $completions_dir; and not contains $completions_dir $fish_complete_path; end...
1	8	--------> ...
7	7	---------> test -d $completions_dir
4	122	-------> if test -f $init_file...
6	6	--------> test -f $init_file
5	5	--------> test -d $conf_dir
12	107	--------> if not contains $plugin_dir $fish_function_path...
82	82	---------> not contains $plugin_dir $fish_function_path
13	13	---------> set fish_function_path $fish_function_path[1] $plugin_dir $fish_function_path[2..-1]
0	6	-------> if test -f $bindings_file...
6	6	--------> test -f $bindings_file
6	6	-------> set -g __fundle_loaded_plugins $plugin $__fundle_loaded_plugins
106	12055	-------> set -l dependencies (printf '%s\n' $plugin_paths $__fundle_plugin_name_paths | sort | uniq -u)
11949	11949	--------> printf '%s\n' $plugin_paths $__fundle_plugin_name_paths | sort | uniq -u
15	15	-------> for dependency in $dependencies...
146	146	-------> emit "init_$plugin_name" $plugin_dir
16	1618	----> __fundle_bind
12	1599	-----> if functions -q fish_user_key_bindings...
155	1421	------> functions -q fish_user_key_bindings
1258	1266	-------> source /Users/thalesmello/.config/fish/functions/fish_user_key_bindings.fish
8	8	--------> function fish_user_key_bindings...
144	144	------> not functions -q __fish_user_key_bindings
22	22	------> functions -c fish_user_key_bindings __fish_user_key_bindings
3	3	-----> function fish_user_key_bindings...
9	9	----> return $has_uninstalled_plugins
10	10	-> set -g theme_display_docker_machine no
5	5	-> set -g theme_display_vi yes
5	5	-> set -g theme_display_date no
5	5	-> set -g theme_display_cmd_duration yes
4	4	-> set -g theme_nerd_fonts yes
5	5	-> set -g theme_powerline_fonts no
5	5	-> set -g theme_show_exit_status yes
4	4	-> set -g theme_display_virtualenv no
5	5	-> set -g theme_color_scheme zenburn
6	6	-> set -g fish_prompt_pwd_dir_length 2
5	5	-> set -gx EDITOR nvim
5	5	-> set -gx VISUAL nvim
9	9	-> set -gx LESS "--ignore-case --LONG-PROMPT --RAW-CONTROL-CHARS --tabs=4 --quit-if-one-screen --mouse"
7	7	-> set -gx LESS_TERMCAP_mb \e'[1;31m'
6	6	-> set -gx LESS_TERMCAP_md \e'[1;36m'
6	6	-> set -gx LESS_TERMCAP_me \e'[0m'
6	6	-> set -gx LESS_TERMCAP_so \e'[01;44;33m'
6	6	-> set -gx LESS_TERMCAP_se \e'[0m'
6	6	-> set -gx LESS_TERMCAP_us \e'[1;32m'
6	6	-> set -gx LESS_TERMCAP_ue \e'[0m'
5	5	-> set -gx LIBGL_ALWAYS_INDIRECT 1
17	17	-> set -U fish_features qmark-noglob
10	10	-> set -xg FZF_DEFAULT_OPTS '--bind "ctrl-n:down,ctrl-p:up,ctrl-r:previous-history,ctrl-s:next-history,ctrl-q:select-all,ctrl-x:toggle-out" --height 40%'
7	7	-> set -xg FZF_CTRL_T_COMMAND 'ag -l'
3	6	-> if set -q USE_WSL_CONFIG...
3	3	--> set -q USE_WSL_CONFIG
